,word,word_lang,word_pos,word_ipa,word_ipa_edited_vowel,word_en,next_word_index_verb,next_word_index_adjective,next_word_index_noun,next_word_index_verb_count,next_word_index_adjective_count,next_word_index_noun_count,predicted_pronunciation
477,razi,eo,verb,/razi/,ɶy,shave,159:315:316:345:350:475:528:554:585:834:1113:1173:1332:1595,108:190:262:348:392:426:438:498:515:558:594:1116:1253:1400,596:616:649:651:656:664:665:670:682:713:892:898:1031:1119:1166:1308:1322:1374:1376:1455:1507:1531:1561:1567:1594:1596:1626:1628:1631,14,14,29,adiau
478,siap,id,adjective,/siap/,yɶb,Ready,191:545:589:845,38:755:1417:1583,757:779:806:929:1047:1147:1202:1243:1427:1486:1492,4,4,11,mawaia
479,반란,ko,verb,/pa̠ɭɭa̠n/,ɶɶm,Rebellion,29:56:96:143:196:215:283:295:429:474:522:811:1377:1496,42:89:182:192:285:371:512:764,611:618:646:647:674:679:707:744:759:774:813:831:872:876:917:1107:1204:1239:1273:1313:1361:1607:1624,14,8,23,an
480,wield,en,verb,/ˈwiɫd/,yb,wield,461:500:527:553:718:888:954:1188,372:924:1210,832:844:893:928:950:1172:1174:1232:1251:1326:1338:1347:1379:1407:1516:1536:1541,8,3,17,amikana
481,痛い,ja,adjective,/itai/,yɶy,painful,121:201:320:360:411:418:1074:1106:1218:1274:1447,385:434:441:719:752:989:1270:1403:1404,620:768:787:851:935:947:987:1068:1104:1125:1148:1233:1277:1288:1298:1299:1328:1388:1416:1434:1458:1488:1519:1525:1564:1615:1659,11,9,27,lis
482,발휘하다,ko,verb,/pa̠ɾɦɥiɦa̠da̠/,ɶyɶɶ,Exert,7:336:356:397:775:826:850:999:1093:1401:1575:1588:1635:1637,78:80:81:415:445:802:991:1134:1212:1445:1473:1545,597:598:608:661:673:677:792:800:803:828:841:874:940:958:959:960:1064:1078:1110:1146:1187:1230:1244:1256:1260:1295:1302:1336:1444:1465:1597:1604:1641,14,12,33,atidata
483,希薄,ja,adjective,/kihakɯ/,yɶu,dilute,271:469:703:1102,126:235:334:539:1304:1454,612:726:751:791:794:804:808:855:860:891:936:979:998:1005:1034:1037:1054:1056:1069:1073:1122:1135:1203:1343:1373:1386:1483:1530:1574:1585:1599:1653,4,6,32,tʃita
484,張り合う,ja,verb,/haɾiaɯ/,ɶyɶu,compete,271:469:703:1102,126:235:334:539:1304:1454,612:726:751:791:794:804:808:855:860:891:936:979:998:1005:1034:1037:1054:1056:1069:1073:1122:1135:1203:1343:1373:1386:1483:1530:1574:1585:1599:1653,4,6,32,tipatu
485,乾いた,ja,verb,/kaɰᵝaita/,ɶɶyɶ,Dry,88:141:253:716:1051:1300:1358:1360:1514:1518:1570:1587,0:27:39:73:131:137:195:197:225:251:272:321:538:580:869:973:978:1128:1254:1497,621:633:714:742:756:795:812:939:963:977:981:1012:1016:1089:1094:1095:1133:1149:1154:1349:1472:1517:1616:1627:1660,12,20,25,amonia
486,nyanyian,id,adjective,/ɲaɲian/,ɶyɶm,song,1006:1226:1319:1345:1353:1440:1491:1505,731:1279:1351:1363,861:1077:1208:1236:1240:1370:1419:1431:1459,8,4,9,akoata
487,洗う,ja,verb,/aɾaɯ/,ɶɶu,wash,722:780:1062:1191:1209:1268,166:738:870:1470,725:749:836:857:875:900:915:965:976:1027:1058:1118:1156:1165:1180:1271:1340:1341:1441:1556:1593:1619,6,4,22,kata
488,아슬,ko,verb,/a̠sʰɯɭ/,ɶu,Crab,103:152:202:260:341:407:459:468:560:564:952:1161:1311:1397,188:206:279:313:490:495:577:927:1112:1367:1393,619:639:658:829:884:923:948:953:1028:1030:1032:1063:1350:1392:1396:1399:1410:1476:1494:1534:1558:1562:1582:1608:1620:1622:1634,14,11,27,bwajaj
489,cacingan,id,verb,/tʃatʃiŋan/,ɶyɶm,Worms,1006:1226:1319:1345:1353:1440:1491:1505,731:1279:1351:1363,861:1077:1208:1236:1240:1370:1419:1431:1459,8,4,9,adibusana
490,kamu,id,adjective,/kamu/,ɶu,you,103:152:202:261:341:407:459:468:488:492:493:533:555:564:952:1161:1311:1397,263:313:927:1112:1367:1393,619:639:642:658:923:953:1028:1063:1117:1171:1275:1350:1392:1399:1410:1476:1494:1534:1543:1550:1558:1562:1582:1608:1620:1622:1634:1647,18,6,28,plouava
491,수필,ko,verb,/sʰupʰiɭ/,uy,essay,346:440:476:584:922:1167:1394:1606,168:344:499:1324:1378:1405,610:902:1164:1320:1375:1406:1438:1520:1576,8,6,9,kapa
492,하류,ko,verb,/ha̠ɾju/,ɶu,downstream,103:152:202:260:341:407:459:468:560:564:952:1161:1311:1397,188:206:279:313:490:495:577:927:1112:1367:1393,619:639:658:829:884:923:948:953:1028:1030:1032:1063:1350:1392:1396:1399:1410:1476:1494:1534:1558:1562:1582:1608:1620:1622:1634,14,11,27,okai
493,다수,ko,verb,/ta̠sʰu/,ɶu,many,103:152:202:260:341:407:459:468:560:564:952:1161:1311:1397,188:206:279:313:490:495:577:927:1112:1367:1393,619:639:658:829:884:923:948:953:1028:1030:1032:1063:1350:1392:1396:1399:1410:1476:1494:1534:1558:1562:1582:1608:1620:1622:1634,14,11,27,atuni
494,카파,ko,adjective,/kʰa̠pʰa̠/,ɶɶ,kappa,150:386:406:513:556:576:579:842,154:205:274:314:452:525:536:549:570:882:1432:1511,625:648:667:695:706:889:951:1060:1162:1182:1398:1421:1501:1515:1527:1533:1538:1554:1581:1589:1612:1625:1648,8,12,23,bifuka
495,kau,id,adjective,/kau/,ɶu,you,103:152:202:261:341:407:459:468:488:492:493:533:555:564:952:1161:1311:1397,263:313:927:1112:1367:1393,619:639:642:658:923:953:1028:1063:1117:1171:1275:1350:1392:1399:1410:1476:1494:1534:1543:1550:1558:1562:1582:1608:1620:1622:1634:1647,18,6,28,bŋwijaw
496,fali,eo,verb,/fali/,ɶy,fall,159:315:316:345:350:475:528:554:585:834:1113:1173:1332:1595,108:190:262:348:392:426:438:498:515:558:594:1116:1253:1400,596:616:649:651:656:664:665:670:682:713:892:898:1031:1119:1166:1308:1322:1374:1376:1455:1507:1531:1561:1567:1594:1596:1626:1628:1631,14,14,29,beaŋi
497,치르다,ko,verb,/t͡ɕʰiɾɯda̠/,byuɶ,pay,248:995:1065:1283:1551,174:217:908:961:1614,628:762:773:821:1085:1183:1205:1206:1215:1220:1402:1418:1466:1469:1484:1524:1644,5,5,17,bajwawajwaj
498,zahir,id,adjective,/zahir/,ɶy,Zahir.,159:164:315:316:318:345:350:477:496:554:585:834:1113:1115:1173:1175:1332:1529:1595,108:190:262:348:438:515:594:1116:1253,596:616:649:651:656:664:665:682:713:898:1031:1119:1166:1308:1322:1374:1376:1507:1531:1561:1567:1594:1596:1626:1628,19,9,25,sikwana
499,putih,id,adjective,/putih/,uy,white,184:346:440:476:491:922:1167:1394:1606,344:551:563:1324:1378:1405,610:641:902:1164:1320:1375:1520:1576:1592,9,6,9,apuli
500,킥,ko,verb,/kçik̚/,yb,Kick,2:106:116:155:160:185:189:207:317:349:383:442:450:480:509:527:553:561:562:588:718:888:954:1188,372:390:404:443:448:519:593:924:1210,832:844:893:928:950:1172:1174:1232:1251:1338:1347:1379:1407:1516:1536:1541,24,9,16,adiadʒa
501,香ばしい,ja,adjective,/koɯbaɕii/,ouɶyy,sweet,19:25:58:140:181:208:222:242:327:359:785:796:911:1139:1380:1408:1429:1442,873:1043:1281:1356:1603,735:740:748:777:856:910:921:955:982:986:993:1038:1040:1041:1048:1052:1130:1151:1158:1242:1451:1480,18,5,22,bajan
502,為になる,ja,verb,/tameninaɾɯ/,ɶøyɶu,Make,271:469:703:1102,126:235:334:539:1304:1454,612:726:751:791:794:804:808:855:860:891:936:979:998:1005:1034:1037:1054:1056:1069:1073:1122:1135:1203:1343:1373:1386:1483:1530:1574:1585:1599:1653,4,6,32,kit
503,melayani,id,verb,/məlajani/,əɶɶy,serve,505:569:761:880:937:1007:1024:1026:1066:1216,17:34:148:153:244:250:332:353:358:403:544:788:1157,599:624:626:732:750:763:783:817:819:858:879:885:914:966:971:1015:1029:1087:1092:1123:1131:1178:1181:1186:1192:1207:1227:1238:1285:1330:1460:1500:1508:1549:1555:1579:1598,10,13,37,kɥini
504,부모,ko,verb,/pumo̞/,uo,parents,463:1449:1498:1553,514:541:591:1478,622:659:1163:1352:1422:1425:1601:1610,4,4,8,kai
505,話し,ja,verb,/hanaɕi/,ɶɶy,story,44:46:84:86:91:93:210:226:238:252:269:298:380:503:569:761:880:937:1007:1026:1066:1216,68:128:148:157:339:416:788:1157,732:750:763:783:817:819:879:885:914:966:971:1015:1029:1087:1092:1108:1123:1131:1144:1178:1181:1192:1207:1227:1238:1285:1426:1457:1460:1500:1506:1508:1547:1549:1555:1579:1598,22,8,37,amaku
506,tarikan,id,verb,/tarikan/,ɶyɶm,Turn,1006:1226:1319:1345:1353:1440:1491:1505,731:1279:1351:1363,861:1077:1208:1236:1240:1370:1419:1431:1459,8,4,9,aupa
507,슬픔,ko,adjective,/sʰɯɭpʰɯm/,uum,sadness,510:877:1362,4:147:720,662:771:918:970:994:1080:1185:1248:1354,3,3,9,aʒud
508,달다,ko,verb,/ta̠ɭda̠/,ɶɶ,Sweet,150:386:406:513:556:576:579:842,154:205:274:314:452:525:536:549:570:882:1432:1511,625:648:667:695:706:889:951:1060:1162:1182:1398:1421:1501:1515:1527:1533:1538:1554:1581:1589:1612:1625:1648,8,12,23,bisi
509,greve,en,verb,/ˈɡɹiv/,yb,greve,461:500:527:553:718:888:954:1188,372:924:1210,832:844:893:928:950:1172:1174:1232:1251:1326:1338:1347:1379:1407:1516:1536:1541,8,3,17,itaikata
510,hukum,id,verb,/hukum/,uum,law,144:211:237:379:877:1362,53:367:368:507:720,683:771:918:970:994:1080:1248:1354,6,5,8,kana
511,疑う,ja,verb,/ɯtagaɯ/,uɶɶu,doubt,722:780:1062:1191:1209:1268,166:738:870:1470,725:749:836:857:875:900:915:965:976:1027:1058:1118:1156:1165:1180:1271:1340:1341:1441:1556:1593:1619,6,4,22,aplalnata
512,karang,id,adjective,/karaŋ/,ɶɶm,coral,139:215:246:283:457:474:479:540:542:811:1377,87:105:231:458:462:537:764,611:617:618:647:663:674:679:681:744:759:774:813:831:872:876:917:930:968:1204:1239:1273:1313:1361:1607:1624,11,7,25,abataʒ
513,cara,id,verb,/tʃara/,ɶɶ,way,342:387:508:546:550:559:574:590:842,114:274:494:692:882:1432:1511,667:695:706:715:951:1060:1162:1182:1398:1421:1501:1515:1527:1533:1538:1554:1581:1589:1612:1625:1632:1648:1656,9,7,23,alu
514,tuso,eo,adjective,/tuso/,uo,cough,504:1449:1498:1553:1590,343:529:541:1478,603:659:1163:1352:1422:1425:1601:1610,5,4,8,lala
515,ハーピー,ja,adjective,/haːpiː/,ɶy,Harpy,159:164:315:318:345:350:475:477:496:528:554:585:834:1113:1115:1173:1175:1332:1529:1595,108:262:348:392:426:438:498:558:1116:1253:1400,616:651:656:665:670:682:713:892:898:1031:1119:1166:1308:1322:1374:1376:1455:1507:1531:1561:1567:1594:1596:1626:1631,20,11,25,diapi
516,로고,ko,adjective,/ɾo̞ɡo̞/,oo,logo,37:322:323:432:449:566:586:587:754:1059:1502,273:333:428:437:895,657:1160:1169:1335:1339:1346:1387:1450:1535:1577:1629,11,5,11,abaŋan
517,妄りに,ja,adjective,/midaɾini/,yɶyy,Unexpectedly,19:25:58:140:181:208:222:242:327:359:785:796:911:1139:1380:1408:1429:1442,873:1043:1281:1356:1603,735:740:748:777:856:910:921:955:982:986:993:1038:1040:1041:1048:1052:1130:1151:1158:1242:1451:1480,18,5,22,kuida
518,kibar,id,verb,/kibar/,yɶ,Kibar,388:444:531:1235,162:436:575:1228:1452:1573,699:896:1176:1481:1542:1559:1578:1650,4,6,8,lukaij
519,bleak,en,adjective,/ˈbɫik/,yb,bleak,461:500:527:553:718:888:954:1188,372:924:1210,832:844:893:928:950:1172:1174:1232:1251:1326:1338:1347:1379:1407:1516:1536:1541,8,3,17,tʃinabu
520,agung,id,adjective,/aguŋ/,ɶum,great,32:357:370:374:395:421:974:1124:1453:1611,18:66:193:204:245:255:256:299:393:1111,602:733:786:906:938:1020:1055:1246:1266:1569,10,10,10,kakalu
521,壮大,ja,adjective,/soɯdai/,ouɶy,magnificent,52:104:125:325:365:410:422:466:848:1081:1127:1337:1412:1420,102:124:797:1200,770:830:854:899:957:1049:1053:1214:1237:1241:1305:1312:1333:1357:1446:1523:1546:1638:1651,14,4,19,asai
522,rahang,id,verb,/rahaŋ/,ɶɶm,jaw,139:215:246:283:457:474:479:540:542:811:1377,87:105:231:458:462:537:764,611:617:618:647:663:674:679:681:744:759:774:813:831:872:876:917:930:968:1204:1239:1273:1313:1361:1607:1624,11,7,25,kada
523,慕う,ja,verb,/ɕitaɯ/,yɶu,Honor,271:469:703:1102,126:235:334:539:1304:1454,612:726:751:791:794:804:808:855:860:891:936:979:998:1005:1034:1037:1054:1056:1069:1073:1122:1135:1203:1343:1373:1386:1483:1530:1574:1585:1599:1653,4,6,32,andilau
524,kejahatan,id,verb,/kədʒahatan/,əɶɶɶm,crime,282:724:798:983:1231:1503,12:984:1001:1013:1344,728:820:866:871:946:997:1036:1221:1222:1259:1261:1291:1630,6,5,13,tnaiɡaŋ
525,dasar,id,adjective,/dasar/,ɶɶ,basic,342:387:508:546:550:559:574:590:842,114:274:494:692:882:1432:1511,667:695:706:715:951:1060:1162:1182:1398:1421:1501:1515:1527:1533:1538:1554:1581:1589:1612:1625:1632:1648:1656,9,7,23,oisa
526,kerajaan,id,adjective,/kəradʒaʔan/,əɶɶɶm,kingdom,282:724:798:983:1231:1503,12:984:1001:1013:1344,728:820:866:871:946:997:1036:1221:1222:1259:1261:1291:1630,6,5,13,walwala
527,führt,de,verb,/ˈfyɾt/,yb,leads,2:106:116:155:160:185:189:207:317:349:383:442:450:461:480:500:509:561:562:588:718:888:954,372:390:404:443:448:519:593:924:1210,844:893:928:1172:1174:1232:1251:1326:1338:1347:1379:1407:1516:1536,23,9,14,umida
528,babi,id,verb,/babi/,ɶy,pig,159:164:315:316:318:345:350:477:496:554:585:834:1113:1115:1173:1175:1332:1529:1595,108:190:262:348:438:515:594:1116:1253,596:616:649:651:656:664:665:682:713:898:1031:1119:1166:1308:1322:1374:1376:1507:1531:1561:1567:1594:1596:1626:1628,19,9,25,afam
529,무모,ko,adjective,/mumo̞/,uo,Reckless,463:1449:1498:1553,514:541:591:1478,622:659:1163:1352:1422:1425:1601:1610,4,4,8,ata
530,꼬리,ko,adjective,/k͈o̞ɾi/,oy,tail,347:547:568:904:926:1033:1229:1252:1532:1560,170:381:1513,705:881:903:925:1114:1314:1323:1365:1369:1424:1479:1509:1512:1544:1586:1655,10,3,16,nasa
531,기타,ko,verb,/kitʰa̠/,yɶ,Etc,444:518:1235,351:575:582:1228:1452:1573,699:896:1176:1321:1481:1542:1559:1578:1650,3,6,9,plama
532,磨く,ja,verb,/migakɯ/,yɶu,polish,271:469:703:1102,126:235:334:539:1304:1454,612:726:751:791:794:804:808:855:860:891:936:979:998:1005:1034:1037:1054:1056:1069:1073:1122:1135:1203:1343:1373:1386:1483:1530:1574:1585:1599:1653,4,6,32,aŋwaŋw
533,가구,ko,verb,/ka̠ɡu/,ɶu,furniture,103:152:202:260:341:407:459:468:560:564:952:1161:1311:1397,188:206:279:313:490:495:577:927:1112:1367:1393,619:639:658:829:884:923:948:953:1028:1030:1032:1063:1350:1392:1396:1399:1410:1476:1494:1534:1558:1562:1582:1608:1620:1622:1634,14,11,27,adaba
534,確かに,ja,adjective,/taɕikani/,ɶyɶy,surely,121:201:320:360:411:418:1074:1106:1218:1274:1447,385:434:441:719:752:989:1270:1403:1404,620:768:787:851:935:947:987:1068:1104:1125:1148:1233:1277:1288:1298:1299:1328:1388:1416:1434:1458:1488:1519:1525:1564:1615:1659,11,9,27,apani
535,bajingan,id,verb,/badʒiŋan/,ɶyɶm,A bastard,1006:1226:1319:1345:1353:1440:1491:1505,731:1279:1351:1363,861:1077:1208:1236:1240:1370:1419:1431:1459,8,4,9,babaw
536,sadar,id,adjective,/sadar/,ɶɶ,Aware,342:387:508:546:550:559:574:590:842,114:274:494:692:882:1432:1511,667:695:706:715:951:1060:1162:1182:1398:1421:1501:1515:1527:1533:1538:1554:1581:1589:1612:1625:1632:1648:1656,9,7,23,alutina
537,사람,ko,adjective,/ˈsʰa̠ːɾa̠m/,ɶɶm,Person,29:56:96:143:196:215:283:295:429:474:522:811:1377:1496,42:89:182:192:285:371:512:764,611:618:646:647:674:679:707:744:759:774:813:831:872:876:917:1107:1204:1239:1273:1313:1361:1607:1624,14,8,23,ai
538,pli fajna,eo,adjective,/pli faina/,byɶyɶ,faster,88:141:253:485:716:862:1051:1300:1358:1514:1518:1570:1587,0:73:131:869:973:978:1128:1254:1497,633:650:742:756:795:933:939:963:977:981:1012:1016:1089:1094:1095:1133:1149:1154:1284:1349:1472:1517:1616:1660,13,9,24,ansataui
539,필라프,ko,adjective,/pʰiɭɭa̠pʰɯ/,yɶu,pilau,10:35:72:82:158:220:271:288:420:469:473:484:502:523:532:703:1102:1250,70:126:212:235:334:483:1304:1454,600:605:606:612:637:704:726:751:791:794:804:808:855:860:936:979:992:998:1005:1034:1037:1069:1122:1135:1203:1343:1364:1373:1386:1530:1585:1599:1653,18,8,33,it
540,파란,ko,verb,/pʰa̠ɾa̠n/,ɶɶm,blue,29:56:96:143:196:215:283:295:429:474:522:811:1377:1496,42:89:182:192:285:371:512:764,611:618:646:647:674:679:707:744:759:774:813:831:872:876:917:1107:1204:1239:1273:1313:1361:1607:1624,14,8,23,i
541,スロー,ja,adjective,/sɯɾoː/,uo,Slot,463:504:1449:1498:1553:1590,343:514:529:591:1478,603:622:1352:1422:1425:1601:1610,6,5,7,miɡau
542,사망,ko,verb,/sʰa̠ma̠ŋ/,ɶɶm,Dead,29:56:96:143:196:215:283:295:429:474:522:811:1377:1496,42:89:182:192:285:371:512:764,611:618:646:647:674:679:707:744:759:774:813:831:872:876:917:1107:1204:1239:1273:1313:1361:1607:1624,14,8,23,babi
543,racun,id,adjective,/ratʃun/,ɶum,poison,32:357:370:374:395:421:974:1124:1453:1611,18:66:193:204:245:255:256:299:393:1111,602:733:786:906:938:1020:1055:1246:1266:1569,10,10,10,təi
544,拙い,ja,adjective,/tsɯtanai/,buɶɶy,Ugly,44:46:84:86:91:93:210:226:238:252:269:298:380:503:569:761:880:937:1007:1026:1066:1216,68:128:148:157:339:416:788:1157,732:750:763:783:817:819:879:885:914:966:971:1015:1029:1087:1092:1108:1123:1131:1144:1178:1181:1192:1207:1227:1238:1285:1426:1457:1460:1500:1506:1508:1547:1549:1555:1579:1598,22,8,37,oama
545,씨앗,ko,verb,/ɕ͈ia̠t̚/,yɶb,seed,40:61:83:845,257:300:394:478:755:1417:1583,757:806:929:1047:1147:1202:1243:1427:1486:1492,4,7,10,bono
546,살다,ko,verb,/sʰa̠ɭda̠/,ɶɶ,live,150:386:406:513:556:576:579:842,154:205:274:314:452:525:536:549:570:882:1432:1511,625:648:667:695:706:889:951:1060:1162:1182:1398:1421:1501:1515:1527:1533:1538:1554:1581:1589:1612:1625:1648,8,12,23,mia
547,loĝi,eo,verb,/lod͡ʒi/,oy,to reside,149:169:187:391:548:581:926:1033:1229:1252,170:186:264:431:439:530:557:1513,881:903:925:1168:1314:1323:1365:1369:1424:1479:1509:1512:1544:1586:1655,10,8,15,tati
548,모일,ko,verb,/mo̞iɭ/,oy,Meal,347:547:568:904:926:1033:1229:1252:1532:1560,170:381:1513,705:881:903:925:1114:1314:1323:1365:1369:1424:1479:1509:1512:1544:1586:1655,10,3,16,i
549,kaya,id,adjective,/kaja/,ɶɶ,rich,342:387:508:546:550:559:574:590:842,114:274:494:692:882:1432:1511,667:695:706:715:951:1060:1162:1182:1398:1421:1501:1515:1527:1533:1538:1554:1581:1589:1612:1625:1632:1648:1656,9,7,23,bɲi
550,사다,ko,verb,/sʰa̠da̠/,ɶɶ,buy,150:386:406:513:556:576:579:842,154:205:274:314:452:525:536:549:570:882:1432:1511,625:648:667:695:706:889:951:1060:1162:1182:1398:1421:1501:1515:1527:1533:1538:1554:1581:1589:1612:1625:1648,8,12,23,pasana
551,무늬,ko,adjective,/muni/,uy,pattern,346:440:476:584:922:1167:1394:1606,168:344:499:1324:1378:1405,610:902:1164:1320:1375:1406:1438:1520:1576,8,6,9,afu
552,weepy,en,adjective,/ˈwipi/,yy,weepy,354:408:425:595:840:901,113:203:1423,691:833:890:949:1177:1276:1307:1448:1495:1521:1528:1539:1540:1548:1563:1571:1580:1643:1645,6,3,19,buziaʃ
553,sprüht,de,verb,/ˈʃpɾyt/,yb,spray,2:106:116:155:160:185:189:207:317:349:383:442:450:461:480:500:509:561:562:588:718:888:954,372:390:404:443:448:519:593:924:1210,844:893:928:1172:1174:1232:1251:1326:1338:1347:1379:1407:1516:1536,23,9,14,ida
554,다리,ko,verb,/ta̠ɾi/,ɶy,Leg,164:316:318:475:477:496:528:834:1113:1115:1173:1175:1529,190:392:426:498:515:558:594:1116:1253:1400,596:649:651:664:670:892:898:1031:1119:1166:1308:1322:1374:1376:1455:1531:1567:1626:1628:1631,13,10,20,kasaki
555,하프,ko,verb,/ha̠pʰɯ/,ɶu,harp,103:152:202:260:341:407:459:468:560:564:952:1161:1311:1397,188:206:279:313:490:495:577:927:1112:1367:1393,619:639:658:829:884:923:948:953:1028:1030:1032:1063:1350:1392:1396:1399:1410:1476:1494:1534:1558:1562:1582:1608:1620:1622:1634,14,11,27,mayny
556,marah,id,verb,/marah/,ɶɶ,angry,342:387:508:546:550:559:574:590:842,114:274:494:692:882:1432:1511,667:695:706:715:951:1060:1162:1182:1398:1421:1501:1515:1527:1533:1538:1554:1581:1589:1612:1625:1632:1648:1656,9,7,23,iwan
557,모피,ko,adjective,/mo̞pʰi/,oy,fur,347:547:568:904:926:1033:1229:1252:1532:1560,170:381:1513,705:881:903:925:1114:1314:1323:1365:1369:1424:1479:1509:1512:1544:1586:1655,10,3,16,abud
558,basi,id,adjective,/basi/,ɶy,stale,159:164:315:316:318:345:350:477:496:554:585:834:1113:1115:1173:1175:1332:1529:1595,108:190:262:348:438:515:594:1116:1253,596:616:649:651:656:664:665:682:713:898:1031:1119:1166:1308:1322:1374:1376:1507:1531:1561:1567:1594:1596:1626:1628,19,9,25,kaki
559,아빠,ko,verb,/a̠p͈a̠/,ɶɶ,Dad,150:386:406:513:556:576:579:842,154:205:274:314:452:525:536:549:570:882:1432:1511,625:648:667:695:706:889:951:1060:1162:1182:1398:1421:1501:1515:1527:1533:1538:1554:1581:1589:1612:1625:1648,8,12,23,jamapu
560,batu,id,verb,/batu/,ɶu,stone,103:152:202:261:341:407:459:468:488:492:493:533:555:564:952:1161:1311:1397,263:313:927:1112:1367:1393,619:639:642:658:923:953:1028:1063:1117:1171:1275:1350:1392:1399:1410:1476:1494:1534:1543:1550:1558:1562:1582:1608:1620:1622:1634:1647,18,6,28,apam
561,peach,en,verb,/ˈpitʃ/,yb,peach,461:500:527:553:718:888:954:1188,372:924:1210,832:844:893:928:950:1172:1174:1232:1251:1326:1338:1347:1379:1407:1516:1536:1541,8,3,17,apoloia
562,beech,en,verb,/ˈbitʃ/,yb,beech,461:500:527:553:718:888:954:1188,372:924:1210,832:844:893:928:950:1172:1174:1232:1251:1326:1338:1347:1379:1407:1516:1536:1541,8,3,17,buita
563,부리,ko,adjective,/puɾi/,uy,beak,346:440:476:584:922:1167:1394:1606,168:344:499:1324:1378:1405,610:902:1164:1320:1375:1406:1438:1520:1576,8,6,9,pau
564,書く,ja,verb,/kakɯ/,ɶu,write,202:260:261:488:492:493:533:555:560:952:1161:1311:1397,188:206:263:279:490:495:577:927:1112:1367:1393,642:829:884:923:948:953:1030:1032:1063:1117:1171:1275:1350:1396:1399:1410:1476:1494:1534:1543:1550:1562:1582:1608:1620:1634:1647,13,11,27,bɡi
565,utama,id,adjective,/utama/,uɶɶ,main,1:14:63:90:227:276:307:782:837:1035:1061:1103:1318:1490:1522,28:405:435:1225:1303:1642,613:687:717:729:743:776:789:816:980:1046:1099:1145:1286:1290:1329:1359:1389:1435:1526:1621,15,6,20,
566,Korvo,eo,verb,/korvo/,oo,Crow,323:432:754:1059:1502,161:273:333:446:516,657:1160:1169:1310:1335:1339:1346:1387:1450:1577:1629,5,5,11,fabu
567,아프리카,ko,verb,/a̠pʰɯɾikʰa̠/,ɶuyɶ,Africa,369:822:920:1430:1433:1461,123:173:303:471:592:907:1193:1657,689:708:739:865:883:975:1002:1008:1010:1082:1120:1140:1195:1234:1258:1301:1366:1413:1482:1510:1591,6,8,21,ibam
568,logi,eo,verb,/logi/,oy,To log,149:169:187:391:548:581:926:1033:1229:1252,170:186:264:431:439:530:557:1513,881:903:925:1168:1314:1323:1365:1369:1424:1479:1509:1512:1544:1586:1655,10,8,15,ina
569,까마귀,ko,verb,/k͈a̠ma̠ɡɥi/,ɶɶy,Crow,44:46:84:86:91:93:210:226:238:252:269:298:380:503:505:761:880:937:1007:1024:1026:1066:1216,17:34:68:128:153:157:244:250:332:339:353:358:403:416:544:788:1157,599:624:626:732:750:783:817:819:858:879:966:971:1015:1092:1108:1123:1131:1144:1178:1186:1192:1207:1227:1238:1285:1330:1426:1457:1460:1500:1506:1547:1549:1579:1598,23,17,35,a
570,darah,id,adjective,/darah/,ɶɶ,blood,342:387:508:546:550:559:574:590:842,114:274:494:692:882:1432:1511,667:695:706:715:951:1060:1162:1182:1398:1421:1501:1515:1527:1533:1538:1554:1581:1589:1612:1625:1632:1648:1656,9,7,23,sinai
571,미루다,ko,verb,/miɾuda̠/,yuɶ,Postpone,248:995:1065:1283:1551,174:217:908:961:1614,628:762:773:821:1085:1183:1205:1206:1215:1220:1402:1418:1466:1469:1484:1524:1644,5,5,17,aŋ
572,menaburi,id,verb,/mənaburi/,əɶuy,strew,22:100:306:377:710:886:887:1098:1194:1217:1282,95:286:942:1381:1602,629:635:696:737:823:825:827:838:868:1071:1075:1083:1137:1152:1196:1223:1224:1249:1262:1263:1272:1297:1552:1613:1617:1649:1654:1658,11,5,28,akmata
573,weedy,en,adjective,/ˈwidi/,yy,weedy,354:408:425:595:840:901,113:203:1423,691:833:890:949:1177:1276:1307:1448:1495:1521:1528:1539:1540:1548:1563:1571:1580:1643:1645,6,3,19,aunij
574,하하,ko,verb,/ha̠ɦa̠/,ɶɶ,haha,150:386:406:513:556:576:579:842,154:205:274:314:452:525:536:549:570:882:1432:1511,625:648:667:695:706:889:951:1060:1162:1182:1398:1421:1501:1515:1527:1533:1538:1554:1581:1589:1612:1625:1648,8,12,23,amu
575,dika,eo,adjective,/dika/,yɶ,thick,388:444:518:531:1235,162:351:436:582:1452:1573,896:1321:1481:1542:1559:1578:1650,5,6,7,boɡata
576,nada,id,verb,/nada/,ɶɶ,tone,342:387:508:546:550:559:574:590:842,114:274:494:692:882:1432:1511,667:695:706:715:951:1060:1162:1182:1398:1421:1501:1515:1527:1533:1538:1554:1581:1589:1612:1625:1632:1648:1656,9,7,23,patan
577,baru,id,adjective,/baru/,ɶu,new,103:152:202:261:341:407:459:468:488:492:493:533:555:564:952:1161:1311:1397,263:313:927:1112:1367:1393,619:639:642:658:923:953:1028:1063:1117:1171:1275:1350:1392:1399:1410:1476:1494:1534:1543:1550:1558:1562:1582:1608:1620:1622:1634:1647,18,6,28,saij
578,weeny,en,verb,/ˈwini/,yy,weeny,354:408:425:595:840:901,113:203:1423,691:833:890:949:1177:1276:1307:1448:1495:1521:1528:1539:1540:1548:1563:1571:1580:1643:1645,6,3,19,dalu
