request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,request_word_ja,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en,response_word_ja
boundless,en,adjective,/ˈbaʊndɫəs/,ɶʊməb,boundless,無限,Wachhundes,de,noun,/ˈvaxʊndəs/,ɶʊməb,Waking dog,目を覚ます犬
無限,ja,adjective,/mɯgeɴ/,uøm,infinite,無限,Schuhcreme,de,noun,/ˈʃuːkʀeːm/,uøm,Shoe polish,靴磨き
توحد,ar,verb,/taʊaħħada/,ɶʊɶbɶɶ,Autism,自閉症,balta-slava,eo,noun,/baltaslava/,ɶbɶbɶɶ,Balta-Slav,Balta-Slav
förena,sv,verb,/fœr'eːna/,œøɶ,reconcile,和解します,생외가,ko,adjective,/sʰɛ̝ŋø̞ɡa̠/,œøɶ,Outdoor,屋外
混乱,zh-cn,verb,/xuən˥˩ lwan˥˩/,uəmɶm,confusion,錯乱,mương máng,vi,noun,/mɯəŋ˧˥ maŋ˩˧/,uəmɶm,trough,トラフ
unirse,es,verb,/uniɾse/,uyø,join,加入,studiere,de,verb,/ʃtuˈdiːɾe/,uyø,study,勉強
가입하다,ko,verb,/ka̠ipʰa̠da̠/,ɶyɶɶ,join,加入,envisagea,fr,verb,/ɑ̃vizaʒa/,ɑyɶɶ,envisaged,想定されています
merangsang,id,verb,/məraŋsaŋ/,əɶmɶm,stimulate,刺激,吃晚饭,zh-cn,noun,/ʈʂʰɚ˥˥ wan˨˩˦ fan˥˩/,əɶmɶm,have dinner,夕食をとる
stimulieren,de,verb,/ʃtimuˈliːɾen/,yuyøm,stimulate,刺激,diluciden,es,verb,/diluθiðen/,yuyøm,elucidate,解明します
stimuloida,fi,verb,/ˈstimuˌloidɑ/,byuoyɑ,stimulate,刺激,Mundharmonika,de,noun,/ˈmʊntaɾmonikɑ/,ʊmɶoyɑ,harmonica,ハーモニカ
يحفز,ar,verb,/jaħfiz/,ɶbyb,Motivate,動機付ける,makcik,id,noun,/maʔtʃiʔ/,ɶbyb,Aunty,おばさん
stimuler,fr,verb,/stimyle/,byyø,stimulate,刺激,validiere,de,adjective,/vɑliˈdiːɾe/,ɑyyø,validate,検証
kích thích,vi,verb,/kit˦˥ tʰit˦˥/,ybyb,stimulate,刺激,lubriques,fr,verb,/lybʁik/,ybyb,lubricates,潤滑剤
mengubah,id,verb,/məŋubah/,əuɶ,change,変化する,cărbunar,ro,adjective,/kərbunar/,əuɶ,CARBUNARI,カルブナリ
transformi,eo,verb,/transformi/,ɶmboy,to transform,変換するには,男女比,ja,noun,/daɴdʑoçi/,ɶmboy,gender ratio,男女比
transformar,es,verb,/tɾansfoɾmaɾ/,ɶmboɶ,transform,変身,sandlåda,sv,noun,/²s'anːdloːda/,ɶmboɶ,sandbox,サンドボックス
mencuci,id,verb,/məntʃutʃi/,əmuy,washing,洗浄,unduly,en,,/ənˈduɫi/,əmuy,unduly,不当に
غسل,ar,verb,/ɣasala/,ɶɶɶ,wash,洗う,관하다,ko,verb,/kwa̠nɦa̠da̠/,ɶɶɶ,Tear,破れ目
씻다,ko,verb,/ɕ͈it̚t͈a̠/,ybɶ,wash,洗う,mixaj,ro,noun,/miksaʒ/,ybɶ,mix,ミックス
afeitar,es,verb,/afeitaɾ/,ɶøyɶ,to shave,剃る,la-tê-rít hoá,vi,noun,/la˧˥-te˧˥-ʐit˦˥ hwa˩˧/,ɶøyɶ,Latininization,ラテン化
unuiĝi,eo,verb,/unuid͡ʒi/,uuyy,to unite,団結します,주빗이,ko,verb,/t͡ɕubiɕʰi/,buyy,Zubit,Zubit
团结,zh-cn,verb,/tʰwan˧˥ tɕjɛ˧˥/,ɶmbœ,Unite,団結します,삼채,ko,adjective,/sʰa̠mt͡ɕʰɛ̝/,ɶmbœ,Triple,トリプル
förena,sv,verb,/fœr'eːna/,œøɶ,reconcile,和解します,pe-sê-ta,vi,noun,/pɛ˧˥-ʂe˧˥-ta˧˥/,œøɶ,Pe-ta,Pe-ta
bersatu,id,verb,/bərsatu/,əɶu,United,ユナイテッド,分岔路,zh-cn,noun,/fən˥˥ ʈʂʰa˥˩ lu˥˩/,əɶu,Bifurcation road,分岐道路
eroon,fi,verb,/ˈeroon/,øoom,rid of,取り除きます,keo sơn,vi,noun,/keo˧˥ ʂɤŋ˧˥/,øoom,glue,のり
제거하다,ko,verb,/t͡ɕe̞ɡʌ̹ɦa̠da̠/,bøɔɶɶ,Remove,削除する,不过尔尔,zh-cn,verb,/pu˥˩ kuɔ˥˩ aɻ˨˩˦ aɻ˨˩˦/,uuɔɶɶ,But,しかし
menyingkirkan,id,verb,/məɲiŋkirkan/,əymyɶm,get rid of,取り除く,reincidan,es,verb,/reinθiðan/,øymyɶm,Reincidate,再考します
befria,sv,verb,/bɛfr'iːa/,œyɶ,free,自由,syndiqua,fr,noun,/sɛ̃dika/,œyɶ,Syndiqua,シンジケ
取り除く,ja,verb,/toɾinozokɯ/,oyoou,remove,取り除く,lignofoliu,ro,noun,/liɡnofolju/,yboou,lignophore,lignophore
débarrasser,fr,verb,/debaʁase/,øɶɶø,rid,取り除く,bằng vai ngang vế,vi,noun,/băŋ˦˨ jaj˧˥ ŋaŋ˧˥ je˩˧/,bɶɶø,by shoulder horizontal,肩の水平
tehokas,fi,adjective,/ˈtehokɑs/,øoɑb,effective,効果的,dépôt-vente,fr,noun,/depovɑ̃t/,øoɑb,deposit sale,デポジットセール
الطموح,ar,verb,/aːltˤumuːħ/,ɶbuub,Aspiration,願望,kalkulus,id,noun,/kalkulus/,ɶbuub,calculus,微積分
abrupta,eo,adjective,/abrupta/,ɶubɶ,abruptly,突然,다습다,ko,verb,/ta̠sʰɯp̚t͈a̠/,ɶubɶ,Wet,濡れた
brusque,fr,adjective,/bʁysk/,bybb,sudden,突然,بليكس,ar,noun,/bliːks/,bybb,Blix,ブリックス
skyndilega,is,adjective,/scɪntɪlɛɣa/,ʏmʏœɶ,suddenly,突然,nachtriggerbar,de,,/ˈnaxtɾɪgɛɾˈbaɽ/,ɶbʏœɶ,nightrailable,Nightrailable
abrupt,en,adjective,/əˈbɹəpt/,əəbb,abrupt,突然,gebebt,de,verb,/gəbəˈpt/,əəbb,bumper,バンパー
eraro,eo,verb,/eraro/,øɶo,error,エラー,寺子,ja,noun,/teɾako/,øɶo,Temple,寺子
erreur,fr,verb,/ɛʁœʁ/,œœb,mistake,間違い,desert,is,noun,/tɛːsɛr̥t/,œœb,desert,荒野
kesalahan,id,verb,/kəsalahan/,əɶɶɶm,error,エラー,detallaban,es,verb,/detaʎaβan/,øɶɶɶm,They detailed,彼らは詳述しました
misstag,sv,verb,/²m'ɪsːtɑːg/,ʏbɑb,mistake,間違い,discharge,en,verb,/ˈdɪsˌtʃɑɹdʒ/,ʏbɑb,discharge,排出
lipici,ro,adjective,/lipitʃʲ/,yyy,glue,のり,tibisí,es,verb,/tiβiˈsi/,yyy,Tibisí,ティビシ
