,word,word_lang,word_pos,word_ipa,word_ipa_edited_vowel,word_en,next_word_index_verb,next_word_index_noun,next_word_index_adjective,word_ch,word_id
366,porĉiama,eo,adjective,/port͡ʃiama/,oyɶɶ,perpetual,4:49:84:90:92:174:210:262:294:301:317:350:354:370:423:631:665:704:720:888:1102:1218:1228:1266,519:520:530:579:587:588:685:714:794:795:867:879:924:949:993:1000:1035:1057:1061:1091:1130:1143:1267,63:73:205:394:687:814:1131:1150,永动的,abadi
367,abadi,id,adjective,/abadi/,ɶɶy,Abadi,443:497:656:781:826:839:841:869,521:545:547:637:650:658:672:698:726:746:766:800:832:843:909:914:945:948:952:964:977:987:1056:1168:1200:1204:1238,14:30:131:135:214:220:297:315:319:356:476:676,阿巴迪,abadi
368,perjalanan,id,verb,/pərdʒalanan/,əɶɶɶm,travel,252:683:809:981,634:733:737:787:818:846:972:973:1003:1004:1029:1262,9:821:1065,旅行,perjalanan
369,vojaĝi,eo,verb,/voiad͡ʒi/,oyɶy,travel,106:177:286:362:898:969:1132,536:542:593:623:662:721:780:788:812:871:897:911:982:995:1018:1026:1054:1093:1124:1138:1162:1163:1182:1186:1215,1:43:59:333:340:383:390:422:467:629:813:1012:1104,旅行,perjalanan
370,암시하다,ko,verb,/a̠mɕʰiɦa̠da̠/,ɶmyɶɶ,Suggest,4:301:317:350:665:704:720:888:1102:1218:1228:1266,519:520:530:579:588:592:685:714:794:795:867:879:924:949:980:993:1000:1035:1061:1130:1143:1237:1243,70:72:73:366:392:687:814:966:1131:1150,建议,Menyarankan
371,気になる,ja,verb,/kininaɾɯ/,yyɶu,concern,241:615:895,534:679:724:728:750:805:819:824:847:861:908:961:1084:1159:1190:1217:1225:1239:1280,111:206:299,关心,perhatian
372,바른,ko,verb,/pa̠ɾɯn/,ɶum,right,285:802:910,551:638:675:761:782:836:860:1009:1214,150:454:475,正确的,Baik
373,dimulai,id,verb,/dimulai/,yuɶy,start,290:718:880:913:1062:1110:1116,523:585:595:697:707:723:793:856:939:967:986:990:1036:1044:1059:1066:1071:1198:1278,104:144:263:379:455:682:960:970,开始,dimulai
374,banala,eo,adjective,/banala/,ɶɶɶ,trivial,2:8:12:88:97:101:102:118:130:149:154:157:186:229:240:276:291:293:331:336:397:684:702:709:891:1069:1194:1253,564:571:609:633:647:690:716:727:731:742:760:779:830:834:837:840:874:885:887:916:950:1030:1137:1210,69:114:120:142:191:322:556:835,不重要的,sepele
375,komika,eo,adjective,/komika/,oyɶ,comedian,117:211:277:957:1037:1112:1113,586:605:673:688:769:820:848:857:870:994:1011:1083:1151:1264,32:46:663:784:1141,喜剧演员,pelawak
376,badut,id,verb,/badut/,ɶub,clown,382:717:1045:1170,661:785:797:810:862:1039:1279,713:872:943,小丑,badut
377,goo,eo,adjective,/goo/,oo,goo,289:381:651:1169,575:1040:1063:1092:1134:1261,140:243:298:393:451,粘性物,goo
378,dalam,id,verb,/dalam/,ɶɶm,in,124:187:216:253:401:416:421:472:474:1086,533:539:540:565:580:589:594:596:646:664:694:738:741:768:775:798:962:988:1015:1042:1256,79:95:202:402:405:470:659,在,dalam
379,深い,ja,adjective,/ɸɯkai/,uɶy,deep,45:94:110:290:326:361:373:409:718:880:913:1062:1110:1116,707:723:793:856:967:986:990:1036:1041:1059:1071:1198:1268:1278,109:682:960,深的,dalam
380,모의,ko,adjective,/mo̞ɰi/,oy,imitation,311:479:496:759:772:845:979:998:1192:1207,617:743:758:771:1043:1052:1076:1080:1174:1177:1197:1226:1282,148:338:1178,模仿,imitasi
381,homo,id,verb,/homo/,oo,homo,33:288:395:494:511:512:651:1169,575:1040:1063:1134:1261,140:377:386:393:451:753,同性恋者,homo
382,팔뚝,ko,verb,/pʰa̠ɭt͈uk̚/,ɶub,Forearm,201:376:414:717:1045:1170,614:785:797:810:862:1039:1279,42:103:153:158:175:190:245:325:713:872:943,前臂,Lengan bawah
383,duniawi,id,adjective,/duniawi/,uyɶy,worldly,106:321:369:875:898:969:1016:1132,536:593:623:721:780:788:812:871:897:911:982:995:1018:1026:1054:1093:1138:1162:1182:1186:1215:1251,1:43:59:333:422:467:629:813:1012:1104:1105,世俗,duniawi
384,sekulara,eo,adjective,/sekulara/,øuɶɶ,secular,0:11:55:82:198:246:275:671:711:896:1047:1184,535:560:601:628:635:645:666:677:696:806:854:893:1024:1055:1073:1094:1125:1187:1206:1255,98:357:365:493:1271,世俗,sekuler
385,기사,ko,adjective,/kisʰa̠/,yɶ,Article,391:453:984,611:754:1050:1157:1196:1220:1277,314:502:508:978:1135:1216,文章,Artikel
386,ŝtormo,eo,adjective,/ʃtormo/,oo,Storm,289:381:651:1169,575:1040:1063:1092:1134:1261,140:243:298:393:451,风暴,Badai
387,나귀,ko,adjective,/na̠ɡɥi/,ɶy,ass,143:283:284:417:419:436:461:708:902:941:942:1189,518:567:569:581:751:756:844:906:936:1038:1051:1191:1212:1258:1260,166:450:488:517:903:999:1101,屁股,pantat
388,노비,ko,adjective,/no̞bi/,oy,Novi,311:479:496:759:772:845:979:998:1192:1207,617:743:758:771:1043:1052:1076:1080:1174:1177:1197:1226:1282,148:338:1178,诺维,Novi.
389,uzi,eo,verb,/uzi/,uy,to use,162:418:432:937:1098,532:934:1049:1085:1107:1127:1183:1219:1232,146:308:438:483:491:1053:1106,使用,menggunakan
390,menghiasi,id,adjective,/məŋhiasi/,əyɶy,decorate,106:321:369:875:898:969:1016:1132,536:593:623:721:780:788:812:871:897:911:982:995:1018:1026:1054:1093:1138:1162:1182:1186:1215:1251,1:43:59:333:422:467:629:813:1012:1104:1105,装饰,menghiasi
391,抵达,zh-cn,verb,/ti˨˩˦ ta˧˥/,yɶ,arrival,343:453:464:984,611:754:1050:1196:1220:1277,141:314:385:502:508:978:1135:1216,抵达,kedatangan
392,lojala,eo,adjective,/loiala/,oyɶɶ,loyal,4:49:84:90:92:174:210:262:294:301:317:350:354:370:423:631:665:704:720:888:1102:1218:1228:1266,519:520:530:579:587:588:685:714:794:795:867:879:924:949:993:1000:1035:1057:1061:1091:1130:1143:1267,63:73:205:394:687:814:1131:1150,忠诚,setia
393,도료,ko,adjective,/to̞ɾjo/,oo,varnish,33:288:289:381:395:494:511:512:651:1169,575:1063:1092:1134:1261,243:298:377:386:753,漆,pernis
394,비싸다,ko,adjective,/pis͈a̠da̠/,yɶɶ,expensive,4:301:317:350:665:704:720:888:1102:1218:1228:1266,519:520:530:579:588:592:685:714:794:795:867:879:924:949:980:993:1000:1035:1061:1130:1143:1237:1243,70:72:73:366:392:687:814:966:1131:1150,昂贵的,mahal
395,ŝtofo,eo,verb,/ʃtofo/,oo,fabric,289:381:651:1169,575:1040:1063:1092:1134:1261,140:243:298:393:451,织物,kain
396,salah,id,adjective,/salah/,ɶɶ,wrong,306:342:445:478:482:489:501:514:715,584:607:618:627:789:864:1099:1180:1188:1195:1203:1221:1229:1248:1257:1263:1275:1283,100:244:604:1122:1176,错误的,salah
397,절약하다,ko,verb,/t͡ɕʌ̹ɾja̠kʰa̠da̠/,bɔɶɶɶ,Retrench,102:186:291:336:684:702:709:891:1069:1194,609:633:647:690:716:727:731:742:755:760:779:830:834:840:874:885:894:916:950:1030:1046:1060:1137:1210:1213,26:44:69:120:191:204:235:322:374:556:835,裁判,Menghemat
398,kawanan,id,verb,/kawanan/,ɶɶɶm,flock,252:683:809:981,634:733:737:787:818:846:972:973:1003:1004:1029:1262,9:821:1065,群,kawanan
399,harian,id,verb,/harian/,ɶyɶm,daily,825:976:1048:1171,729:878:965:985:989:1081:1115:1139,636:1020:1067:1075,日常的,harian
400,diadakan,id,adjective,/diadakan/,yɶɶɶm,held,252:683:809:981,634:733:737:787:818:846:972:973:1003:1004:1029:1262,9:821:1065,握住,diadakan
401,아담,ko,verb,/a̠da̠m/,ɶɶm,Adam,25:48:128:172:187:253:264:378:416:456:1086:1166,533:540:565:589:594:619:646:664:694:738:741:768:962:988:1015:1042:1256,37:81:160:168:255:330:447:659,亚当,Adam.
402,말단,ko,adjective,/ma̠ɭda̠n/,ɶɶm,end,25:48:128:172:187:253:264:378:416:456:1086:1166,533:540:565:589:594:619:646:664:694:738:741:768:962:988:1015:1042:1256,37:81:160:168:255:330:447:659,结尾,akhir
403,掃く,ja,verb,/hakɯ/,ɶu,Sweep,178:230:231:429:433:434:466:485:490:790:932,561:706:745:791:866:904:940:1017:1100:1109:1153:1193:1201:1209:1222:1245:1265:1274,165:181:233:249:431:435:504:773:1078:1097,扫,Menyapu
404,saringan,id,adjective,/sariŋan/,ɶyɶm,filter,825:976:1048:1171,729:878:965:985:989:1081:1115:1139,636:1020:1067:1075,筛选,saringan
405,산란,ko,adjective,/sʰa̠ɭɭa̠n/,ɶɶm,spawning,25:48:128:172:187:253:264:378:416:456:1086:1166,533:540:565:589:594:619:646:664:694:738:741:768:962:988:1015:1042:1256,37:81:160:168:255:330:447:659,产卵,hal ikan bertelur
406,tuko,eo,verb,/tuko/,uo,towel,442:1133:1202:1230,525:577:933:1068:1117:1118:1240:1246,307:462:473:1155,毛巾,handuk
407,mortiga,eo,adjective,/mortiga/,oyɶ,lethal,117:211:277:957:1037:1112:1113,586:605:673:688:769:820:848:857:870:994:1011:1083:1151:1264,32:46:663:784:1141,致命,letal
408,mengalahkan,id,verb,/məŋalahkan/,əɶɶɶm,beat,252:683:809:981,634:733:737:787:818:846:972:973:1003:1004:1029:1262,9:821:1065,打,mengalahkan
409,terkulai,id,verb,/tərkulai/,əuɶy,Droop,290:718:880:913:1062:1110:1116,523:585:595:697:707:723:793:856:939:967:986:990:1036:1044:1059:1066:1071:1198:1278,104:144:263:379:455:682:960:970,下垂,terkulai
410,그리다,ko,verb,/kɯɾida̠/,uyɶ,draw,328:700:1121:1123:1140,602:620:642:732:744:822:827:829:881:907:955:983:1002:1034:1077:1111:1158:1175:1231,108:151:271:413:516:953:1284,画,seri
411,嗅ぐ,ja,verb,/kagɯ/,ɶu,smell,178:230:231:429:433:434:466:485:490:790:932,561:706:745:791:866:904:940:1017:1100:1109:1153:1193:1201:1209:1222:1245:1265:1274,165:181:233:249:431:435:504:773:1078:1097,闻,bau
412,토하다,ko,verb,/tʰo̞ɦa̠da̠/,oɶɶ,vomit,817:1008:1146,600:641:655:670:691:692:695:719:752:776:823:838:883:926:958:1001:1128,176:228:643:786:799:1031:1079:1270,呕吐,muntahan
413,humida,eo,adjective,/humida/,uyɶ,Humid,20:67:119:200:300:324:364:410:495:700:1121:1123:1140,602:620:642:722:744:822:827:829:881:907:955:1002:1034:1077:1111:1175:1231,151:349:516:953:1284,湿,Lembab
414,mabuk,id,verb,/mabuʔ/,ɶub,drunk,382:717:1045:1170,661:785:797:810:862:1039:1279,713:872:943,醉,mabuk
415,抱く,ja,verb,/idakɯ/,yɶu,Hug,241:615:895,534:679:724:728:750:805:819:824:847:861:908:961:1084:1159:1190:1217:1225:1239:1280,111:206:299,拥抱,Memeluk
416,大胆,zh-cn,verb,/ta˥˩ tan˨˩˦/,ɶɶm,Bold,25:48:124:128:172:216:264:378:401:421:456:472:474:1166,539:540:565:580:589:596:619:664:694:738:741:768:775:798:962:1015:1042:1256,37:79:81:95:160:168:202:255:330:402:405:447:470:659,大胆,Mencolok
417,rami,id,verb,/rami/,ɶy,hemp,139:143:282:283:284:309:313:419:436:484:510:708:902:941:942:1058:1189:1235,518:538:567:569:574:581:582:597:625:756:844:906:936:1038:1051:1173:1191:1208:1212:1234:1236:1258:1260,96:166:232:312:387:450:517:903:999,麻,rami
418,goofy,en,verb,/ˈɡufi/,uy,goofy,162:310:389:432:770:937:1098:1244,532:934:1049:1085:1107:1127:1219:1232,146:438:483:491:1053:1106,笨蛋,bodoh
419,razi,eo,verb,/razi/,ɶy,shave,139:282:283:309:313:417:461:484:510:708:902:941:1058:1235,518:538:567:569:574:581:582:597:625:751:756:844:906:936:1038:1051:1173:1191:1208:1212:1234:1236:1258:1260,96:166:232:312:387:450:488:517:903:999:1101,刮胡子,mencukur
420,siap,id,adjective,/siap/,yɶb,Ready,167:477:513,654:669:689:774:925:992:1119:1164,34:652:1114:1223,准备好,siap
421,반란,ko,verb,/pa̠ɭɭa̠n/,ɶɶm,Rebellion,25:48:128:172:187:253:264:378:416:456:1086:1166,533:540:565:589:594:619:646:664:694:738:741:768:962:988:1015:1042:1256,37:81:160:168:255:330:447:659,叛乱,Pemberontakan
422,痛い,ja,adjective,/itai/,yɶy,painful,106:177:286:321:362:369:875:898:969:1016:1132,542:662:721:780:788:812:871:897:911:982:1018:1026:1093:1124:1138:1163:1182:1186:1251,340:383:390:629:813:1012:1104:1105,痛苦,menyakitkan
423,발휘하다,ko,verb,/pa̠ɾɦɥiɦa̠da̠/,ɶyɶɶ,Exert,4:301:317:350:665:704:720:888:1102:1218:1228:1266,519:520:530:579:588:592:685:714:794:795:867:879:924:949:980:993:1000:1035:1061:1130:1143:1237:1243,70:72:73:366:392:687:814:966:1131:1150,发挥,Menggunakan
424,希薄,ja,adjective,/kihakɯ/,yɶu,dilute,241:615:895,534:679:724:728:750:805:819:824:847:861:908:961:1084:1159:1190:1217:1225:1239:1280,111:206:299,稀,mencairkan
425,張り合う,ja,verb,/haɾiaɯ/,ɶyɶu,compete,241:615:895,534:679:724:728:750:805:819:824:847:861:908:961:1084:1159:1190:1217:1225:1239:1280,111:206:299,竞争,bersaing
426,乾いた,ja,verb,/kaɰᵝaita/,ɶɶyɶ,Dry,80:126:223:858:1072:1074:1179:1181:1227,543:554:626:644:653:680:693:804:807:831:833:886:889:890:915:929:1149:1259:1286,23:35:65:116:122:171:173:196:221:242:287:471:506:735:801,干燥,Kering
427,nyanyian,id,adjective,/ɲaɲian/,ɶyɶm,song,825:976:1048:1171,729:878:965:985:989:1081:1115:1139,636:1020:1067:1075,歌曲,nyanyian
428,洗う,ja,verb,/aɾaɯ/,ɶɶu,wash,630:865:951,632:649:710:725:740:757:767:803:863:905:930:935:944:1013:1064:1129:1205:1233:1254,145:736:1147,洗,mencuci
429,아슬,ko,verb,/a̠sʰɯɭ/,ɶu,Crab,93:134:178:230:305:359:403:411:490:492:790:932,541:559:576:706:745:791:842:866:1096:1100:1109:1153:1193:1209:1222:1245:1265,165:181:249:280:431:435:504:773:1078:1097,螃蟹,Kepiting
430,cacingan,id,verb,/tʃatʃiŋan/,ɶyɶm,Worms,825:976:1048:1171,729:878:965:985:989:1081:1115:1139,636:1020:1067:1075,蠕虫,cacingan
431,kamu,id,adjective,/kamu/,ɶu,you,93:134:178:231:305:359:403:411:429:433:434:466:485:492:790:932,541:559:561:576:791:842:866:904:940:1017:1096:1100:1109:1153:1193:1201:1209:1222:1245:1265:1274,233:280:773:1078:1097,你,kamu
432,수필,ko,verb,/sʰupʰiɭ/,uy,essay,310:389:418:770:937:1098:1244,532:934:1049:1085:1107:1127:1183:1219,146:308:438:1053:1106,散文,karangan
433,하류,ko,verb,/ha̠ɾju/,ɶu,downstream,93:134:178:230:305:359:403:411:490:492:790:932,541:559:576:706:745:791:842:866:1096:1100:1109:1153:1193:1209:1222:1245:1265,165:181:249:280:431:435:504:773:1078:1097,下游,hilir
434,다수,ko,verb,/ta̠sʰu/,ɶu,many,93:134:178:230:305:359:403:411:490:492:790:932,541:559:576:706:745:791:842:866:1096:1100:1109:1153:1193:1209:1222:1245:1265,165:181:249:280:431:435:504:773:1078:1097,许多,banyak
435,kau,id,adjective,/kau/,ɶu,you,93:134:178:231:305:359:403:411:429:433:434:466:485:492:790:932,541:559:561:576:791:842:866:904:940:1017:1096:1100:1109:1153:1193:1201:1209:1222:1245:1265:1274,233:280:773:1078:1097,你,kau
436,fali,eo,verb,/fali/,ɶy,fall,139:282:283:309:313:417:461:484:510:708:902:941:1058:1235,518:538:567:569:574:581:582:597:625:751:756:844:906:936:1038:1051:1173:1191:1208:1212:1234:1236:1258:1260,96:166:232:312:387:450:488:517:903:999:1101,落下,jatuh
437,치르다,ko,verb,/t͡ɕʰiɾɯda̠/,byuɶ,pay,218:868:1023,549:657:699:884:946:963:971:1103:1144:1160:1185:1272,152:189:796:1250,支付,membayar
438,putih,id,adjective,/putih/,uy,white,162:310:389:418:432:770:937:1098:1244,532:934:1049:1085:1183:1219:1232,308:483:491:1053:1106,白色的,putih
439,香ばしい,ja,adjective,/koɯbaɕii/,ouɶyy,sweet,15:21:50:125:159:182:194:212:292:320:674:681:764:919:1087:1108:1120,640:667:763:808:811:816:849:850:855:859:927:931:991:1156,739:852:1021:1070:1242,甜的,manis
440,為になる,ja,verb,/tameninaɾɯ/,ɶøyɶu,Make,241:615:895,534:679:724:728:750:805:819:824:847:861:908:961:1084:1159:1190:1217:1225:1239:1280,111:206:299,制作,Membuat
441,melayani,id,verb,/məlajani/,əɶɶy,serve,443:497:656:781:826:839:841:869,521:545:547:637:650:658:672:698:726:746:766:800:832:843:909:914:945:948:952:964:977:987:1056:1168:1200:1204:1238,14:30:131:135:214:220:297:315:319:356:476:676,服务,melayani
442,부모,ko,verb,/pumo̞/,uo,parents,406:1133:1202,544:577:933:1068:1117:1118:1240:1246,449:473:515:1155,父母,orangtua
443,話し,ja,verb,/hanaɕi/,ɶɶy,story,40:76:78:83:85:184:197:208:222:239:266:337:441:497:656:781:826:841:869,637:650:658:672:698:746:766:800:832:843:899:909:914:923:945:952:964:977:987:1168:1172:1199:1200:1204:1238,60:113:131:137:367:676,故事,cerita
444,tarikan,id,verb,/tarikan/,ɶyɶm,Turn,825:976:1048:1171,729:878:965:985:989:1081:1115:1139,636:1020:1067:1075,转动,tarikan
445,달다,ko,verb,/ta̠ɭda̠/,ɶɶ,Sweet,133:341:358:448:486:503:505:715,546:566:584:607:618:749:789:864:1099:1180:1188:1195:1203:1221:1229:1248:1257:1275,136:180:244:281:396:459:469:481:498:1122:1176,甜的,Manis
446,疑う,ja,verb,/ɯtagaɯ/,uɶɶu,doubt,630:865:951,632:649:710:725:740:757:767:803:863:905:930:935:944:1013:1064:1129:1205:1233:1254,145:736:1147,怀疑,keraguan
447,karang,id,adjective,/karaŋ/,ɶɶm,coral,124:187:216:253:401:416:421:472:474:1086,533:539:540:565:580:589:594:596:646:664:694:738:741:768:775:798:962:988:1015:1042:1256,79:95:202:402:405:470:659,珊瑚,karang
448,cara,id,verb,/tʃara/,ɶɶ,way,306:342:445:478:482:489:501:514:715,584:607:618:627:789:864:1099:1180:1188:1195:1203:1221:1229:1248:1257:1263:1275:1283,100:244:604:1122:1176,办法,cara
449,tuso,eo,adjective,/tuso/,uo,cough,442:1133:1202:1230,525:577:933:1068:1117:1118:1240:1246,307:462:473:1155,咳嗽,batuk
450,ハーピー,ja,adjective,/haːpiː/,ɶy,Harpy,139:143:282:284:309:313:417:419:436:461:484:510:708:902:941:942:1058:1189:1235,538:569:574:582:597:625:751:756:844:906:936:1038:1051:1173:1191:1208:1212:1234:1236:1258,96:232:312:387:488:903:999:1101,哈,Perampas
451,로고,ko,adjective,/ɾo̞ɡo̞/,oo,logo,33:288:289:381:395:494:511:512:651:1169,575:1063:1092:1134:1261,243:298:377:386:753,商标,logo
452,妄りに,ja,adjective,/midaɾini/,yɶyy,Unexpectedly,15:21:50:125:159:182:194:212:292:320:674:681:764:919:1087:1108:1120,640:667:763:808:811:816:849:850:855:859:927:931:991:1156,739:852:1021:1070:1242,不料,Tiba-tiba
453,kibar,id,verb,/kibar/,yɶ,Kibar,343:391:464:984,611:754:1157:1196:1220:1277,141:385:502:978:1135:1216,帕巴尔,kibar
454,agung,id,adjective,/aguŋ/,ɶum,great,28:318:329:332:348:372:802:910:1136:1247,524:638:675:761:782:836:860:1009:1214,58:169:179:215:225:226:267:346:901,伟大的,agung
455,壮大,ja,adjective,/soɯdai/,ouɶy,magnificent,45:94:110:290:326:361:373:409:718:880:913:1062:1110:1116,707:723:793:856:967:986:990:1036:1041:1059:1071:1198:1268:1278,109:682:960,华丽的,indah
456,rahang,id,verb,/rahaŋ/,ɶɶm,jaw,124:187:216:253:401:416:421:472:474:1086,533:539:540:565:580:589:594:596:646:664:694:738:741:768:775:798:962:988:1015:1042:1256,79:95:202:402:405:470:659,颚,rahang
457,慕う,ja,verb,/ɕitaɯ/,yɶu,Honor,241:615:895,534:679:724:728:750:805:819:824:847:861:908:961:1084:1159:1190:1217:1225:1239:1280,111:206:299,荣誉,Kehormatan
458,kejahatan,id,verb,/kədʒahatan/,əɶɶɶm,crime,252:683:809:981,634:733:737:787:818:846:972:973:1003:1004:1029:1262,9:821:1065,犯罪,kejahatan
459,dasar,id,adjective,/dasar/,ɶɶ,basic,306:342:445:478:482:489:501:514:715,584:607:618:627:789:864:1099:1180:1188:1195:1203:1221:1229:1248:1257:1263:1275:1283,100:244:604:1122:1176,基本的,dasar
460,kerajaan,id,adjective,/kəradʒaʔan/,əɶɶɶm,kingdom,252:683:809:981,634:733:737:787:818:846:972:973:1003:1004:1029:1262,9:821:1065,王国,kerajaan
461,babi,id,verb,/babi/,ɶy,pig,139:143:282:283:284:309:313:419:436:484:510:708:902:941:942:1058:1189:1235,518:538:567:569:574:581:582:597:625:756:844:906:936:1038:1051:1173:1191:1208:1212:1234:1236:1258:1260,96:166:232:312:387:450:517:903:999,猪,babi
462,무모,ko,adjective,/mumo̞/,uo,Reckless,406:1133:1202,544:577:933:1068:1117:1118:1240:1246,449:473:515:1155,鲁莽,Sembrono
463,꼬리,ko,adjective,/k͈o̞ɾi/,oy,tail,311:479:496:759:772:845:979:998:1192:1207,617:743:758:771:1043:1052:1076:1080:1174:1177:1197:1226:1282,148:338:1178,尾巴,ekor
464,기타,ko,verb,/kitʰa̠/,yɶ,Etc,391:453:984,611:754:1050:1157:1196:1220:1277,314:502:508:978:1135:1216,等等,Dll
465,磨く,ja,verb,/migakɯ/,yɶu,polish,241:615:895,534:679:724:728:750:805:819:824:847:861:908:961:1084:1159:1190:1217:1225:1239:1280,111:206:299,抛光,Polandia
466,가구,ko,verb,/ka̠ɡu/,ɶu,furniture,93:134:178:230:305:359:403:411:490:492:790:932,541:559:576:706:745:791:842:866:1096:1100:1109:1153:1193:1209:1222:1245:1265,165:181:249:280:431:435:504:773:1078:1097,家具,mebel
467,確かに,ja,adjective,/taɕikani/,ɶyɶy,surely,106:177:286:321:362:369:875:898:969:1016:1132,542:662:721:780:788:812:871:897:911:982:1018:1026:1093:1124:1138:1163:1182:1186:1251,340:383:390:629:813:1012:1104:1105,一定,pasti
468,bajingan,id,verb,/badʒiŋan/,ɶyɶm,A bastard,825:976:1048:1171,729:878:965:985:989:1081:1115:1139,636:1020:1067:1075,一个混蛋,bajingan
469,sadar,id,adjective,/sadar/,ɶɶ,Aware,306:342:445:478:482:489:501:514:715,584:607:618:627:789:864:1099:1180:1188:1195:1203:1221:1229:1248:1257:1263:1275:1283,100:244:604:1122:1176,知道的,sadar
470,사람,ko,adjective,/ˈsʰa̠ːɾa̠m/,ɶɶm,Person,25:48:128:172:187:253:264:378:416:456:1086:1166,533:540:565:589:594:619:646:664:694:738:741:768:962:988:1015:1042:1256,37:81:160:168:255:330:447:659,人,Orang
471,pli fajna,eo,adjective,/pli faina/,byɶyɶ,faster,80:126:223:426:730:858:1072:1179:1181:1227,554:568:644:653:680:778:804:807:831:833:886:889:890:915:929:1149:1286,65:116:735:801,快点,lebih cepat
472,파란,ko,verb,/pʰa̠ɾa̠n/,ɶɶm,blue,25:48:128:172:187:253:264:378:416:456:1086:1166,533:540:565:589:594:619:646:664:694:738:741:768:962:988:1015:1042:1256,37:81:160:168:255:330:447:659,蓝色的,biru
473,スロー,ja,adjective,/sɯɾoː/,uo,Slot,406:442:1133:1202:1230,525:544:1068:1117:1118:1240:1246,307:449:462:515:1155,投币口,Slot.
474,사망,ko,verb,/sʰa̠ma̠ŋ/,ɶɶm,Dead,25:48:128:172:187:253:264:378:416:456:1086:1166,533:540:565:589:594:619:646:664:694:738:741:768:962:988:1015:1042:1256,37:81:160:168:255:330:447:659,死的,Mati
475,racun,id,adjective,/ratʃun/,ɶum,poison,28:318:329:332:348:372:802:910:1136:1247,524:638:675:761:782:836:860:1009:1214,58:169:179:215:225:226:267:346:901,毒,racun
476,拙い,ja,adjective,/tsɯtanai/,buɶɶy,Ugly,40:76:78:83:85:184:197:208:222:239:266:337:441:497:656:781:826:841:869,637:650:658:672:698:746:766:800:832:843:899:909:914:923:945:952:964:977:987:1168:1172:1199:1200:1204:1238,60:113:131:137:367:676,丑陋的,Jelek
477,씨앗,ko,verb,/ɕ͈ia̠t̚/,yɶb,seed,36:53:75,654:689:774:925:992:1119:1164,227:268:347:420:652:1114:1223,种子,benih
478,살다,ko,verb,/sʰa̠ɭda̠/,ɶɶ,live,133:341:358:448:486:503:505:715,546:566:584:607:618:749:789:864:1099:1180:1188:1195:1203:1221:1229:1248:1257:1275,136:180:244:281:396:459:469:481:498:1122:1176,居住,hidup
479,loĝi,eo,verb,/lod͡ʒi/,oy,to reside,132:147:164:345:480:507:772:845:979:998,743:758:771:938:1043:1052:1076:1080:1174:1177:1197:1226:1282,148:163:234:380:388:463:487:1178,居住,untuk tinggal
480,모일,ko,verb,/mo̞iɭ/,oy,Meal,311:479:496:759:772:845:979:998:1192:1207,617:743:758:771:1043:1052:1076:1080:1174:1177:1197:1226:1282,148:338:1178,一顿饭,Makan
481,kaya,id,adjective,/kaja/,ɶɶ,rich,306:342:445:478:482:489:501:514:715,584:607:618:627:789:864:1099:1180:1188:1195:1203:1221:1229:1248:1257:1263:1275:1283,100:244:604:1122:1176,富有的,kaya
482,사다,ko,verb,/sʰa̠da̠/,ɶɶ,buy,133:341:358:448:486:503:505:715,546:566:584:607:618:749:789:864:1099:1180:1188:1195:1203:1221:1229:1248:1257:1275,136:180:244:281:396:459:469:481:498:1122:1176,买,membeli
483,무늬,ko,adjective,/muni/,uy,pattern,310:389:418:770:937:1098:1244,532:934:1049:1085:1107:1127:1183:1219,146:308:438:1053:1106,图案,pola
484,다리,ko,verb,/ta̠ɾi/,ɶy,Leg,143:283:284:417:419:436:461:708:902:941:942:1189,518:567:569:581:751:756:844:906:936:1038:1051:1191:1212:1258:1260,166:450:488:517:903:999:1101,腿,Kaki
485,하프,ko,verb,/ha̠pʰɯ/,ɶu,harp,93:134:178:230:305:359:403:411:490:492:790:932,541:559:576:706:745:791:842:866:1096:1100:1109:1153:1193:1209:1222:1245:1265,165:181:249:280:431:435:504:773:1078:1097,竖琴,harpa
486,marah,id,verb,/marah/,ɶɶ,angry,306:342:445:478:482:489:501:514:715,584:607:618:627:789:864:1099:1180:1188:1195:1203:1221:1229:1248:1257:1263:1275:1283,100:244:604:1122:1176,生气的,marah
487,모피,ko,adjective,/mo̞pʰi/,oy,fur,311:479:496:759:772:845:979:998:1192:1207,617:743:758:771:1043:1052:1076:1080:1174:1177:1197:1226:1282,148:338:1178,毛皮,bulu
488,basi,id,adjective,/basi/,ɶy,stale,139:143:282:283:284:309:313:419:436:484:510:708:902:941:942:1058:1189:1235,518:538:567:569:574:581:582:597:625:756:844:906:936:1038:1051:1173:1191:1208:1212:1234:1236:1258:1260,96:166:232:312:387:450:517:903:999,陈旧,basi
489,아빠,ko,verb,/a̠p͈a̠/,ɶɶ,Dad,133:341:358:448:486:503:505:715,546:566:584:607:618:749:789:864:1099:1180:1188:1195:1203:1221:1229:1248:1257:1275,136:180:244:281:396:459:469:481:498:1122:1176,爸爸,Ayah
490,batu,id,verb,/batu/,ɶu,stone,93:134:178:231:305:359:403:411:429:433:434:466:485:492:790:932,541:559:561:576:791:842:866:904:940:1017:1096:1100:1109:1153:1193:1201:1209:1222:1245:1265:1274,233:280:773:1078:1097,石头,batu
491,부리,ko,adjective,/puɾi/,uy,beak,310:389:418:770:937:1098:1244,532:934:1049:1085:1107:1127:1183:1219,146:308:438:1053:1106,喙,paruh
